Data for J0(N)
--------------------------------------------------------------------------------
  N     dimension   decomposition                      L(1)                positive rank   order   #J0(Q)_tor divisor   #J0(Q)_tor multiple
  2     0           []                                 1.00000000000000    False           1       1                    1
  3     0           []                                 1.00000000000000    False           1       1                    1
  4     0           []                                 1.00000000000000    False           1       1                    1
  5     0           []                                 1.00000000000000    False           1       1                    1
  6     0           []                                 1.00000000000000    False           1       1                    1
  7     0           []                                 1.00000000000000    False           1       1                    1
  8     0           []                                 1.00000000000000    False           1       1                    1
  9     0           []                                 1.00000000000000    False           1       1                    1
  10    0           []                                 1.00000000000000    False           1       1                    1
  11    1           ['11a']                            0.253841860855911   False           5       5                    5
  12    0           []                                 1.00000000000000    False           1       1                    1
  13    0           []                                 1.00000000000000    False           1       1                    1
  14    1           ['14a']                            0.330223659344481   False           6       6                    6
  15    1           ['15a']                            0.350150760583151   False           8       8                    8
  16    0           []                                 1.00000000000000    False           1       1                    1
  17    1           ['17a']                            0.386769938387780   False           4       4                    4
  18    0           []                                 1.00000000000000    False           1       1                    1
  19    1           ['19a']                            0.453253244496104   False           3       3                    3
  20    1           ['20a']                            0.470729190326519   False           6       6                    6
  21    1           ['21a']                            0.451115405388492   False           8       8                    8
  23    2           ['23a']                            0.248431866590600   False           11      11                   11
  24    1           ['24a']                            0.539128911874911   False           8       8                    8
  25    0           []                                 1.00000000000000    False           1       1                    1
  26    2           ['26a', '26b']                     0.320155235479737   False           21      21                   21
  27    1           ['27a']                            0.588879583428483   False           3       3                    3
  29    2           ['29a']                            0.291521565699153   False           7       7                    7
  31    2           ['31a']                            0.449287723876040   False           5       5                    5
  32    1           ['32a']                            0.655514388573030   False           4       4                    4
  35    3           ['35a', '35b']                     0.262007903658520   False           48      48                   48
  36    1           ['36a']                            0.701091052662727   False           6       6                    6
  37    2           ['37a', '37b']                     0.000000000000000   True            3       3                    3
  39    3           ['39a', '39b']                     0.315828214075301   False           ?       56                   112
  41    3           ['41a']                            0.318126074609314   False           10      10                   10
  43    3           ['43a', '43b']                     0.000000000000000   True            7       7                    7
  47    4           ['47a']                            0.444393983723261   False           23      23                   23
  49    1           ['49a']                            0.966655852808406   False           2       2                    2
  50    2           ['50a', '50b']                     0.682364260639752   False           15      15                   15
  53    4           ['53a', '53b']                     0.000000000000000   True            13      13                   13
  59    5           ['59a']                            0.358136132711037   False           29      29                   29
  61    4           ['61a', '61b']                     0.000000000000000   True            5       5                    5
  65    5           ['65a', '65b', '65c']              0.000000000000000   True            168     168                  168
  67    5           ['67a', '67b', '67c']              0.000000000000000   True            ?       11                   22
  71    6           ['71a', '71b']                     0.362546223026256   False           35      35                   35
  73    5           ['73a', '73b', '73c']              0.000000000000000   True            6       6                    6
  79    6           ['79a', '79b']                     0.000000000000000   True            13      13                   13
  83    7           ['83a', '83b']                     0.000000000000000   True            41      41                   41
  89    7           ['89a', '89b', '89c']              0.000000000000000   True            22      22                   22
  91    7           ['91a', '91b', '91c', '91d']       0.000000000000000   True            ?       336                  2688
  97    7           ['97a', '97b']                     0.000000000000000   True            8       8                    8
  101   8           ['101a', '101b']                   0.000000000000000   True            25      25                   25
  103   8           ['103a', '103b']                   0.000000000000000   True            17      17                   17
  107   9           ['107a', '107b']                   0.000000000000000   True            53      53                   53
  109   8           ['109a', '109b', '109c']           0.000000000000000   True            9       9                    9
  113   9           ['113a', '113b', '113c', '113d']   0.000000000000000   True            28      28                   28
  125   8           ['125a', '125b', '125c']           0.000000000000000   True            25      25                   25
  127   10          ['127a', '127b']                   0.000000000000000   True            21      21                   21
  131   11          ['131a', '131b']                   0.000000000000000   True            65      65                   65
  137   11          ['137a', '137b']                   0.000000000000000   True            34      34                   34
  139   11          ['139a', '139b', '139c']           0.000000000000000   True            23      23                   23
  149   12          ['149a', '149b']                   0.000000000000000   True            37      37                   37
  151   12          ['151a', '151b', '151c']           0.000000000000000   True            25      25                   25
  157   12          ['157a', '157b']                   0.000000000000000   True            13      13                   13
  163   13          ['163a', '163b', '163c']           0.000000000000000   True            ?       27                   108
  167   14          ['167a', '167b']                   0.000000000000000   True            83      83                   83
  169   8           ['169a', '169b', '169c']           0.000000000000000   True            7       7                    7
  173   14          ['173a', '173b']                   0.000000000000000   True            43      43                   43
  179   15          ['179a', '179b', '179c']           0.000000000000000   True            89      89                   89
  181   14          ['181a', '181b']                   0.000000000000000   True            15      15                   15
  191   16          ['191a', '191b']                   0.000000000000000   True            95      95                   95
  193   15          ['193a', '193b', '193c']           0.000000000000000   True            16      16                   16
  197   16          ['197a', '197b', '197c']           0.000000000000000   True            ?       49                   392
  199   16          ['199a', '199b', '199c']           0.000000000000000   True            33      33                   33

